"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"第一プラザ坂戸1000","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","坂戸市明治工場さまそば、ベルク坂戸石井店さま目の前の大型店","","","100%：受注確定","金井 英中","0","2022/04/11"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","西川口駅東口ミスタードーナツの隣","","荻吉(回ってない部分の訴求)","100%：受注確定","金井 英中","0","2022/04/11"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","カリスマ、荻吉","100%：受注確定","小野田 眞一","0","2022/04/11"
"ガーデン北戸田","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2022/04/12"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/12"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/12"
"Super D’STATION鴻巣店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","鴻巣市鎌塚　ローソン鴻巣鎌塚北店近くの大型店","","","100%：受注確定","吉川 英優","0","2022/04/13"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/13"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/13"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","船橋市習志野４丁目コジマ向かいのお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/13"
"キコーナ松戸店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","松戸市松戸新田","","ミスターX","100%：受注確定","高野 純一","0","2022/04/15"
"PIA津田沼","千葉県","ZIZAI_ドリスロ","3台並び","JR津田沼駅　りそな銀行隣のお店","","ミスターX","100%：受注確定","佐藤 寿","0","2022/04/15"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","習志野市屋敷交差点付近","","ミスターX","100%：受注確定","高野 純一","0","2022/04/15"
"パラッツォ三郷中央店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","三郷中央駅近く","","いけちん","100%：受注確定","高野 純一","0","2022/04/15"
"ザシティベルシティ川崎店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","川崎市川崎区駅前本町のお店","","れお","100%：受注確定","金井 英中","0","2022/04/15"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","カリスマ・荻吉","100%：受注確定","金井 英中","0","2022/04/15"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","カリスマ・荻吉","100%：受注確定","金井 英中","0","2022/04/15"
"PIA柏スロット館","千葉県","ZIZAI_ドリスロ","3台並び","柏二番街中央地下スロット専門店","","ミスターX","100%：受注確定","佐藤 寿","0","2022/04/16"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/04/16"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","綾瀬市上土棚北","","荻吉(マルハンまとめ","100%：受注確定","佐藤 寿","0","2022/04/16"
"マルハン都筑店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区","","荻吉(マルハンまとめ","100%：受注確定","佐藤 寿","0","2022/04/16"
"ベルシティザシティ新杉田店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市磯子区中原ﾌｧﾐﾘｰﾏｰﾄ磯子中原二丁目店近く","","カリスマ","100%：受注確定","金井 英中","0","2022/04/16"
"マルハン鶴見店","神奈川県","ZIZAI_ドリスロ","全台","横浜市鶴見区元宮","","荻吉(マルハンまとめ","100%：受注確定","佐藤 寿","0","2022/04/16"
"コトブキホール","東京都","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","高島平駅西口のローソン前の店","","","100%：受注確定","吉川 英優","0","2022/04/16"
"キコーナ草加店","埼玉県","ZIZAI_ドリスロ","3台並び","草加インターチェンジから車で約5分4号バイパス沿い","","いけちん","100%：受注確定","高野 純一","0","2022/04/16"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","ジャグ・ハナ","習志野市屋敷交差点付近","","","100%：受注確定","高野 純一","0","2022/04/16"
"ピーアーク新城マックスパチンコ","神奈川県","ZIZAI_ドリスロ","3台並び","JR武蔵新城駅　改札目の前のビル","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/16"
"スロットスーパーZX","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","船橋市イエローハット近くのお店","","ピン王","100%：受注確定","高野 純一","0","2022/04/16"
"マルハン川口店","埼玉県","ZIZAI_ドリスロ","3台並び","川口市の川沿いのお店","","いけちん","100%：受注確定","佐藤 寿","0","2022/04/16"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","全台","JR王子駅北口を出てすぐ目の前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/17"
"大山オーシャンスロット専門館","東京都","ZIZAI_ドリスロ","3台並び","板橋区のお店","","荻吉","100%：受注確定","金井 英中","0","2022/04/17"
"キコーナ草加店","埼玉県","ZIZAI_ドリスロ","3台並び","草加インターチェンジから車で約5分4号バイパス沿い","","","100%：受注確定","高野 純一","0","2022/04/17"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","","100%：受注確定","吉川 英優","0","2022/04/17"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","都筑区茅ヶ崎中央　センター南駅から直結のお店","","","100%：受注確定","高野 純一","0","2022/04/17"
"パールショップともえ佐原山之辺店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","香取市山之辺ファミリーマート付近","","","100%：受注確定","高野 純一","1","2022/04/17"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","いけちん","100%：受注確定","高野 純一","0","2022/04/17"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/17"
"新！ガーデン川口安行","埼玉県","ZIZAI_ドリスロ","全台","川口市横道交差点付近","","","100%：受注確定","小野田 眞一","0","2022/04/17"
"グランドホール長後店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","藤沢市長後国道467号線沿い近く","","カリスマ","100%：受注確定","小野田 眞一","0","2022/04/17"
"D’STATION新小岩店","東京都","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","JR総武線新小岩駅南口 ルミエール商店街内","","","100%：受注確定","吉川 英優","0","2022/04/17"
"Super D’STATION鴻巣店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","鴻巣市鎌塚　ローソン鴻巣鎌塚北店近くの大型店","","","100%：受注確定","吉川 英優","0","2022/04/18"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/04/18"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","3台並び","北葛飾郡杉戸町2404","","","100%：受注確定","吉川 英優","0","2022/04/18"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/18"
"オゼック国分寺","東京都","ZIZAI_ドリスロ","3台並び","国分寺駅南口京王ストア近く","","カリスマ","100%：受注確定","小野田 眞一","0","2022/04/18"
"阿佐ヶ谷オーシャン","東京都","ZIZAI_ドリスロ","3台並び","杉並区のお店","","荻吉","100%：受注確定","金井 英中","0","2022/04/18"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/19"
"PIA川口","埼玉県","ZIZAI_ドリスロ","3台並び","JR川口駅ペデストリアンデッキ直結のお店","","いけちん・不死鳥","100%：受注確定","佐藤 寿","0","2022/04/20"
"マルハン八千代緑が丘店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","八千代市緑が丘西トライアル隣のお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/20"
"アリーナ鶴瀬店","埼玉県","ZIZAI_ドリスロ","3台並び","鶴瀬駅徒歩1分のお店","","","100%：受注確定","吉川 英優","0","2022/04/20"
"エスパス日拓新宿歌舞伎町店","東京都","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","東京で1番大きく華やかな場所","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/21"
"エクス・アリーナ　柏","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","柏市郊外","","ミスターX","100%：受注確定","吉川 英優","0","2022/04/21"
"第一プラザ坂戸1000","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","坂戸市明治工場さまそば、ベルク坂戸石井店さま目の前の大型店","","","100%：受注確定","金井 英中","0","2022/04/21"
"アビバ湘南台店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","湘南台駅東口直結のお店","","れお","100%：受注確定","佐藤 寿","0","2022/04/21"
"ガーデン北戸田","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区のいつものお店","","れお","100%：受注確定","小野田 眞一","0","2022/04/22"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","3台並び","JR王子駅北口を出てすぐ目の前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/04/22"
"大山オーシャンスロット専門館","東京都","ZIZAI_ドリスロ","全台","板橋区のお店","","荻吉","100%：受注確定","金井 英中","0","2022/04/22"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/22"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","西川口駅東口ミスタードーナツの隣","","","100%：受注確定","金井 英中","0","2022/04/22"
"マルハン都筑店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区","","荻吉","100%：受注確定","佐藤 寿","0","2022/04/23"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","カリスマ","100%：受注確定","小野田 眞一","0","2022/04/23"
"マルハン鶴見店","神奈川県","ZIZAI_ドリスロ","全台","横浜市鶴見区元宮","","荻吉","100%：受注確定","佐藤 寿","0","2022/04/23"
"コトブキホール","東京都","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","高島平駅西口のローソン前の店","","","100%：受注確定","吉川 英優","0","2022/04/23"
"マルハン八千代緑が丘店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","八千代市緑が丘西トライアル隣のお店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/23"
"メガガーデン所沢スロット館","埼玉県","ZIZAI_ドリスロ","3台並び","所沢のいつものお店","","れお","100%：受注確定","小野田 眞一","0","2022/04/23"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","","100%：受注確定","吉川 英優","0","2022/04/23"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","れお","100%：受注確定","佐藤 寿","0","2022/04/23"
"パラッツォ馬橋駅前店","千葉県","ZIZAI_ドリスロ","全台","馬橋駅徒歩1分の大型店","","ミスターX","100%：受注確定","高野 純一","0","2022/04/23"
"マルハン川口店","埼玉県","ZIZAI_ドリスロ","3台並び","川口市の川沿いのお店","","いけちん・不死鳥","100%：受注確定","佐藤 寿","0","2022/04/23"
"新！ガーデン八潮","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","首都高速6号 八潮パーキング付近","","れお","100%：受注確定","小野田 眞一","0","2022/04/23"
"PIA柏スロット館","千葉県","ZIZAI_ドリスロ","3台並び","柏二番街中央地下スロット専門店","","ミスターX","100%：受注確定","佐藤 寿","0","2022/04/23"
"キコーナ茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","茅ヶ崎市南湖","","カナちゃん","100%：受注確定","高野 純一","0","2022/04/23"
"戸越ミナト","東京都","DMM_ドリスロ","3台並び","東京都品川区","","","100%：受注確定","DMM入力用","1","2022/04/23"
"オータ若葉駅前店","埼玉県","ZIZAI_ドリスロ","3台並び","若葉駅西口すぐのお店","","","100%：受注確定","吉川 英優","0","2022/04/24"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","れお","100%：受注確定","小野田 眞一","0","2022/04/24"
